"age","workclass","education","marital_status","occupation","race","sex","hours_per_week","income"
39,"Government","Bachelors","Single","White-Collar","White","Male",40,0
50,"Self-Employed","Bachelors","Married","White-Collar","White","Male",13,0
38,"Private","HS-grad","Divorced","Blue-Collar","White","Male",40,0
53,"Private","School","Married","Blue-Collar","Other","Male",40,0
28,"Private","Bachelors","Married","Professional","Other","Female",40,0
37,"Private","Masters","Married","White-Collar","White","Female",40,0
49,"Private","School","Married","Service","Other","Female",16,0
52,"Self-Employed","HS-grad","Married","White-Collar","White","Male",45,1
31,"Private","Masters","Single","Professional","White","Female",50,1
42,"Private","Bachelors","Married","White-Collar","White","Male",40,1
37,"Private","Some-college","Married","White-Collar","Other","Male",80,1
30,"Government","Bachelors","Married","Professional","Other","Male",40,1
23,"Private","Bachelors","Single","White-Collar","White","Female",30,0
32,"Private","Assoc","Single","Sales","Other","Male",50,0
40,"Private","Assoc","Married","Blue-Collar","Other","Male",40,1
34,"Private","School","Married","Blue-Collar","Other","Male",45,0
25,"Self-Employed","HS-grad","Single","Blue-Collar","White","Male",35,0
32,"Private","HS-grad","Single","Blue-Collar","White","Male",40,0
38,"Private","School","Married","Sales","White","Male",50,0
43,"Self-Employed","Masters","Divorced","White-Collar","White","Female",45,1
40,"Private","Doctorate","Married","Professional","White","Male",60,1
54,"Private","HS-grad","Separated","Service","Other","Female",20,0
35,"Government","School","Married","Blue-Collar","Other","Male",40,0
43,"Private","School","Married","Blue-Collar","White","Male",40,0
59,"Private","HS-grad","Divorced","Service","White","Female",40,0
56,"Government","Bachelors","Married","Service","White","Male",40,1
19,"Private","HS-grad","Single","Blue-Collar","White","Male",40,0
54,"Other/Unknown","Some-college","Married","Other/Unknown","Other","Male",60,1
39,"Private","HS-grad","Divorced","White-Collar","White","Male",80,0
49,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
23,"Government","Assoc","Single","Service","White","Male",52,0
20,"Private","Some-college","Single","Sales","Other","Male",44,0
45,"Private","Bachelors","Divorced","White-Collar","White","Male",40,0
30,"Government","Some-college","Married","White-Collar","White","Male",40,0
22,"Government","Some-college","Married","Service","Other","Male",15,0
48,"Private","School","Single","Blue-Collar","White","Male",40,0
21,"Private","Some-college","Single","Blue-Collar","White","Male",40,0
19,"Private","HS-grad","Married","White-Collar","White","Female",25,0
31,"Private","Some-college","Married","Sales","White","Male",38,1
48,"Self-Employed","Assoc","Married","Professional","White","Male",40,0
31,"Private","School","Married","Blue-Collar","White","Male",43,0
53,"Self-Employed","Bachelors","Married","Professional","White","Male",40,0
24,"Private","Bachelors","Married","Service","White","Male",50,0
49,"Private","HS-grad","Separated","White-Collar","White","Female",40,0
25,"Private","HS-grad","Single","Blue-Collar","White","Male",35,0
57,"Government","Bachelors","Married","Professional","Other","Male",40,1
53,"Private","HS-grad","Married","Blue-Collar","White","Male",38,0
44,"Private","Masters","Divorced","White-Collar","White","Female",40,0
41,"Government","Assoc","Married","Blue-Collar","White","Male",40,0
29,"Private","Assoc","Single","Professional","White","Male",43,0
25,"Private","Some-college","Married","White-Collar","Other","Female",40,0
18,"Private","HS-grad","Single","Service","White","Female",30,0
47,"Private","Prof-school","Married","Professional","White","Female",60,1
50,"Government","Bachelors","Divorced","White-Collar","White","Male",55,1
47,"Self-Employed","HS-grad","Divorced","White-Collar","White","Male",60,0
43,"Private","Some-college","Married","Service","White","Male",40,1
46,"Private","School","Married","Blue-Collar","White","Male",40,0
35,"Private","Assoc","Married","Service","White","Male",40,0
41,"Private","HS-grad","Married","White-Collar","White","Male",48,0
30,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
30,"Private","Bachelors","Married","Sales","White","Male",40,0
32,"Other/Unknown","School","Married","Other/Unknown","White","Male",40,0
48,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
42,"Private","Doctorate","Married","Professional","White","Male",45,1
29,"Private","Some-college","Divorced","Service","White","Male",58,0
36,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
28,"Private","Some-college","Divorced","White-Collar","White","Female",40,0
53,"Private","HS-grad","Married","White-Collar","White","Female",40,1
49,"Self-Employed","Some-college","Married","White-Collar","White","Male",50,1
25,"Other/Unknown","Some-college","Single","Other/Unknown","White","Male",40,0
19,"Private","Some-college","Single","Professional","White","Male",32,0
31,"Private","Bachelors","Separated","Sales","Other","Female",40,0
29,"Self-Employed","Bachelors","Married","Sales","White","Male",70,1
23,"Private","Some-college","Single","Blue-Collar","White","Male",40,0
79,"Private","Some-college","Married","Professional","White","Male",20,0
27,"Private","HS-grad","Single","Service","White","Male",40,0
40,"Private","Assoc","Married","White-Collar","White","Male",40,0
67,"Other/Unknown","School","Married","Other/Unknown","White","Male",2,0
18,"Private","School","Single","Service","White","Female",22,0
31,"Government","School","Married","Blue-Collar","White","Male",40,0
18,"Private","HS-grad","Single","Sales","White","Male",30,0
52,"Private","Bachelors","Married","Service","White","Male",40,0
46,"Private","HS-grad","Married","Service","White","Female",40,0
59,"Private","HS-grad","Married","Sales","White","Male",48,0
44,"Private","HS-grad","Divorced","Blue-Collar","White","Female",40,1
53,"Private","HS-grad","Divorced","Sales","White","Female",35,0
49,"Government","HS-grad","Married","Service","White","Male",40,1
33,"Private","Masters","Married","Professional","White","Male",50,0
30,"Private","School","Single","Sales","White","Male",40,0
43,"Government","Doctorate","Single","Professional","White","Female",50,1
57,"Private","Assoc","Married","Professional","White","Male",40,0
37,"Private","Some-college","Divorced","Blue-Collar","White","Female",40,0
28,"Private","Some-college","Divorced","Blue-Collar","Other","Female",25,0
30,"Private","HS-grad","Married","Sales","Other","Female",35,0
34,"Government","Bachelors","Married","Service","White","Male",40,1
29,"Government","Some-college","Single","Blue-Collar","White","Male",50,0
48,"Self-Employed","Doctorate","Married","Professional","White","Male",60,1
37,"Private","Some-college","Married","Sales","White","Male",48,1
48,"Private","Assoc","Divorced","White-Collar","White","Female",40,0
32,"Government","HS-grad","Single","Service","Other","Male",40,0
76,"Private","Masters","Married","White-Collar","White","Male",40,1
44,"Private","Bachelors","Married","White-Collar","White","Male",60,1
47,"Self-Employed","Masters","Single","Professional","White","Female",50,0
20,"Private","Some-college","Single","Service","White","Female",40,0
29,"Private","HS-grad","Single","Blue-Collar","White","Male",40,0
32,"Self-Employed","HS-grad","Married","Blue-Collar","White","Male",40,1
17,"Other/Unknown","School","Single","Other/Unknown","White","Female",32,0
30,"Private","School","Single","Blue-Collar","White","Male",40,0
31,"Government","HS-grad","Single","White-Collar","White","Female",40,0
42,"Private","HS-grad","Married","Blue-Collar","White","Male",40,0
24,"Private","Bachelors","Single","Sales","White","Male",40,0
38,"Private","Prof-school","Married","Professional","White","Male",40,1
56,"Self-Employed","HS-grad","Married","Service","White","Male",50,1
28,"Private","Some-college","Married","Sales","White","Female",25,0
36,"Private","HS-grad","Single","Blue-Collar","White","Female",40,0
53,"Private","School","Married","Blue-Collar","White","Male",50,0
56,"Self-Employed","Some-college","Married","Sales","White","Male",50,0
49,"Government","Assoc","Married","Blue-Collar","Other","Male",40,1
55,"Private","Some-college","Married","Sales","White","Male",56,0
22,"Private","HS-grad","Single","Blue-Collar","White","Male",41,0
21,"Private","Some-college","Single","Service","White","Female",40,0
40,"Private","Bachelors","Married","White-Collar","White","Male",60,0
30,"Private","Bachelors","Single","White-Collar","Other","Male",40,0
29,"Government","Bachelors","Married","Professional","White","Male",50,1
19,"Private","Some-college","Single","Service","Other","Male",35,0
47,"Private","Bachelors","Married","White-Collar","White","Female",40,1
20,"Private","Some-college","Single","White-Collar","White","Female",28,0
31,"Private","Assoc","Married","White-Collar","White","Male",40,1
35,"Other/Unknown","HS-grad","Married","Other/Unknown","White","Male",40,0
39,"Private","Some-college","Divorced","Blue-Collar","White","Male",40,0
28,"Private","Assoc","Single","Sales","White","Female",60,0
