emp_length,annual_inc,open_acc,credit_years,grade,home_ownership,purpose,addr_state,loan_status
10,24000,3,27,B,RENT,debt,Other,1
1,30000,3,13,C,RENT,purchase,GA,0
10,12252,2,10,C,RENT,small_business,IL,1
10,49200,10,16,C,RENT,purchase,CA,1
1,80000,15,16,B,RENT,purchase,Other,1
3,36000,9,7,A,RENT,purchase,Other,1
8,47004,7,6,C,RENT,debt,Other,1
9,48000,4,5,E,RENT,purchase,CA,1
4,40000,11,8,F,OWN,small_business,CA,0
1,15000,2,7,B,RENT,purchase,TX,0
5,72000,14,14,C,OWN,debt,Other,1
10,75000,12,22,B,OWN,debt,CA,1
1,30000,4,8,C,RENT,debt,Other,0
3,15000,11,8,B,RENT,debt,IL,1
3,100000,14,21,B,RENT,purchase,CA,0
1,28000,11,4,D,RENT,debt,Other,1
4,42000,14,13,C,RENT,purchase,CA,1
10,110000,20,18,A,MORTGAGE,purchase,Other,1
1,84000,4,8,B,MORTGAGE,purchase,Other,1
6,77385.19,8,11,A,RENT,debt,CA,1
3,43370,8,14,C,RENT,debt,TX,1
10,105000,7,29,B,RENT,debt,FL,0
10,50000,8,26,B,OWN,debt,TX,1
5,50000,6,9,B,RENT,debt,CA,1
1,76000,7,10,B,RENT,purchase,CA,0
2,92000,8,10,B,MORTGAGE,debt,IL,1
9,60000,7,8,C,RENT,debt,NY,0
2,50004,14,8,D,RENT,purchase,Other,0
10,106000,12,27,B,MORTGAGE,debt,FL,1
1,25000,8,5,B,RENT,debt,Other,1
7,17108,6,24,A,MORTGAGE,debt,NY,1
5,75000,12,30,A,MORTGAGE,debt,Other,1
2,29120,11,15,C,RENT,debt,FL,1
2,24044,8,7,A,RENT,debt,Other,1
7,34000,6,4,C,RENT,debt,CA,1
10,41000,9,6,B,RENT,debt,Other,1
2,55596,7,11,B,RENT,purchase,CA,1
1,45000,7,7,A,RENT,debt,Other,1
1,36852,7,5,B,RENT,debt,Other,1
1,27000,6,10,B,RENT,debt,IL,1
4,68004,6,9,A,RENT,purchase,Other,1
